epoch:0, dice_loss:0.2997225339596088, pix acc:0.9154964388333837
epoch:1, dice_loss:0.2618486493825912, pix acc:0.9230123705741686
epoch:2, dice_loss:0.26398565643108807, pix acc:0.9228269567245094
epoch:3, dice_loss:0.2542247976248081, pix acc:0.9229155398637824
epoch:4, dice_loss:0.239924274958097, pix acc:0.9229286976349655
epoch:5, dice_loss:0.2397695916203352, pix acc:0.9227374267578126
epoch:6, dice_loss:0.23565374177235823, pix acc:0.9229983090131711
epoch:7, dice_loss:0.2263986715903649, pix acc:0.9234767776880506
epoch:8, dice_loss:0.21838417454407766, pix acc:0.9246367899576825
epoch:9, dice_loss:0.2032213228253218, pix acc:0.9303966659154649
epoch:10, dice_loss:0.19729036001058725, pix acc:0.9308846732897637
epoch:11, dice_loss:0.19600105858766115, pix acc:0.9308195886856471
epoch:12, dice_loss:0.1918665526004938, pix acc:0.9334605525090144
epoch:13, dice_loss:0.18347647384955332, pix acc:0.935389670347556
epoch:14, dice_loss:0.18068193506736022, pix acc:0.9358450552133416
epoch:15, dice_loss:0.1782497988297389, pix acc:0.9380147611177881
epoch:16, dice_loss:0.17282206857433685, pix acc:0.9386385443271734
epoch:17, dice_loss:0.16965046605238548, pix acc:0.9401949642866086
epoch:18, dice_loss:0.1698927627159999, pix acc:0.9386646838065905
epoch:19, dice_loss:0.16394377786379594, pix acc:0.9424037992037259
epoch:20, dice_loss:0.15854032532526896, pix acc:0.944168720734425
epoch:21, dice_loss:0.15435183426508536, pix acc:0.9444356908553687
epoch:22, dice_loss:0.15235721904497881, pix acc:0.9458709912422376
epoch:23, dice_loss:0.1585824204178957, pix acc:0.944634266388722
epoch:24, dice_loss:0.15761666985658498, pix acc:0.9436159300192806
epoch:25, dice_loss:0.15579926658135193, pix acc:0.9446453974797177
epoch:26, dice_loss:0.14570038444720781, pix acc:0.9487464357033756
epoch:27, dice_loss:0.14239393495596372, pix acc:0.9485106600247899
epoch:28, dice_loss:0.14481022449640127, pix acc:0.9490020243326824
epoch:29, dice_loss:0.14029961279951608, pix acc:0.9493824337690304
epoch:30, dice_loss:0.1361085560459357, pix acc:0.9512899232522035
epoch:31, dice_loss:0.13774342789099767, pix acc:0.9505849202473959
epoch:32, dice_loss:0.1360382712804354, pix acc:0.9512322411170371
epoch:33, dice_loss:0.1305592017678114, pix acc:0.9525172111315604
epoch:34, dice_loss:0.12886268112521906, pix acc:0.9528026678623298
epoch:35, dice_loss:0.12991750509693073, pix acc:0.9539478125939003
epoch:36, dice_loss:0.1261743382192575, pix acc:0.9538626724634414
epoch:37, dice_loss:0.12101046500297694, pix acc:0.9555837347568609
epoch:38, dice_loss:0.12027881947847513, pix acc:0.9556045375726162
epoch:39, dice_loss:0.12226930994253893, pix acc:0.9545767955290967
epoch:40, dice_loss:0.11311358052950639, pix acc:0.9573885404146636
epoch:41, dice_loss:0.11070968972948882, pix acc:0.9580297382061297
epoch:42, dice_loss:0.10684625019247715, pix acc:0.9602902612930692
epoch:43, dice_loss:0.10293935949985798, pix acc:0.9616656650641027
epoch:44, dice_loss:0.10418778520364028, pix acc:0.9599935600085134
epoch:45, dice_loss:0.10282481702474447, pix acc:0.960337583101713
epoch:46, dice_loss:0.0915855497121811, pix acc:0.9647483864808695
epoch:47, dice_loss:0.09609286894018833, pix acc:0.9632178908128006
epoch:48, dice_loss:0.08826266326583349, pix acc:0.9661471596742289
epoch:49, dice_loss:0.08579617033784206, pix acc:0.966505866417518
epoch:50, dice_loss:0.08269706918643072, pix acc:0.9679700841659153
epoch:51, dice_loss:0.0764282243183026, pix acc:0.9700029891576524
epoch:52, dice_loss:0.07248445158967605, pix acc:0.9721250798152044
epoch:53, dice_loss:0.07711829422758176, pix acc:0.9698653744428585
epoch:54, dice_loss:0.06661195325163695, pix acc:0.9745475377791969
epoch:55, dice_loss:0.06519379773392127, pix acc:0.9750155170147236
epoch:56, dice_loss:0.06253855509253649, pix acc:0.9757462486853966
epoch:57, dice_loss:0.06448564836038993, pix acc:0.9751864937024236
epoch:58, dice_loss:0.05777230070760617, pix acc:0.9772821866548976
epoch:59, dice_loss:0.05242146597458766, pix acc:0.9796625029735075
epoch:60, dice_loss:0.05717345097890267, pix acc:0.9781297771747294
epoch:61, dice_loss:0.051764736123956163, pix acc:0.9803606316982172
epoch:62, dice_loss:0.05136212225143726, pix acc:0.9802422743577224
epoch:63, dice_loss:0.04665072093216272, pix acc:0.9818673001802887
epoch:64, dice_loss:0.04336133865782848, pix acc:0.9828623414650939
epoch:65, dice_loss:0.04338357738004281, pix acc:0.9832270734738081
epoch:66, dice_loss:0.03954522853287367, pix acc:0.9848869832356771
epoch:67, dice_loss:0.038371016429020806, pix acc:0.9850739581768332
epoch:68, dice_loss:0.03479694380209996, pix acc:0.9864699339255312
epoch:69, dice_loss:0.034872639236541894, pix acc:0.9862583845089646
epoch:70, dice_loss:0.03370491160223117, pix acc:0.9868366417518027
epoch:71, dice_loss:0.035789611663382785, pix acc:0.9858801073905749
epoch:72, dice_loss:0.03616744864445466, pix acc:0.9860503328763522
epoch:73, dice_loss:0.03700048562425833, pix acc:0.9854730850610977
epoch:74, dice_loss:0.0279825066574491, pix acc:0.9890135662372295
epoch:75, dice_loss:0.028291454997200233, pix acc:0.9891358008751503
epoch:76, dice_loss:0.026186610844272835, pix acc:0.9898828555376104
epoch:77, dice_loss:0.03446207290085462, pix acc:0.9867657353327828
epoch:78, dice_loss:0.03025539955840661, pix acc:0.9885152885241386
epoch:79, dice_loss:0.027016285735254105, pix acc:0.9894891005295974
epoch:80, dice_loss:0.029479560886438078, pix acc:0.9886534431653146
epoch:81, dice_loss:0.024032682438309375, pix acc:0.9906273748935799
epoch:82, dice_loss:0.02270479630678892, pix acc:0.9912871336325623
epoch:83, dice_loss:0.02014408494130923, pix acc:0.9919936077411353
epoch:84, dice_loss:0.022269068042246196, pix acc:0.9911259851700219
epoch:85, dice_loss:0.021097522816405846, pix acc:0.9915813152606666
epoch:86, dice_loss:0.01968527280797179, pix acc:0.9922012876852967
epoch:87, dice_loss:0.022709939929728324, pix acc:0.9910344441731773
epoch:88, dice_loss:0.019730872023277557, pix acc:0.9922318561260515
epoch:89, dice_loss:0.01834505992010236, pix acc:0.992605942946214
epoch:90, dice_loss:0.02393534492987853, pix acc:0.990951170309996
epoch:91, dice_loss:0.017429492737238223, pix acc:0.9929352432642228
epoch:92, dice_loss:0.01826922851972855, pix acc:0.9926296723194609
